Date,Open,High,Low,Close,Adj Close,Volume
2012-09-01,null,null,null,null,null,null
2012-10-01,null,null,null,null,null,null
2012-11-01,null,null,null,null,null,null
2012-12-01,null,null,null,null,null,null
2013-01-01,null,null,null,null,null,null
2013-02-01,null,null,null,null,null,null
2013-03-01,null,null,null,null,null,null
2013-04-01,null,null,null,null,null,null
2013-05-01,79.849998,81.400002,79.849998,80.449997,59.165249,28500
2013-06-01,80.720001,81.599998,76.669998,78.559998,57.775314,71800
2013-07-01,78.500000,82.589996,78.000000,80.430000,59.232300,64600
2013-08-01,79.800003,80.599998,78.470001,78.949997,58.389133,29500
2013-09-01,78.949997,80.279999,78.290001,78.779999,58.531189,71900
2013-10-01,78.519997,81.510002,77.910004,80.500000,60.082302,317800
2013-11-01,80.489998,80.940002,78.690002,80.190002,60.120316,203400
2013-12-01,79.949997,81.010002,79.440002,80.449997,60.531059,331600
2014-01-01,80.599998,81.089996,79.500000,79.599998,60.358948,528800
2014-02-01,79.400002,80.949997,78.690002,80.629997,61.139988,408300
2014-03-01,80.599998,80.839996,79.580002,80.599998,61.367756,332900
2014-04-01,80.349998,80.910004,79.589996,80.300003,61.372276,389100
2014-05-01,80.059998,81.599998,79.620003,79.809998,61.251606,442300
2014-06-01,79.769997,81.779999,79.629997,80.500000,62.026009,287400
2014-07-01,80.199997,80.750000,78.199997,79.570000,61.574844,528200
2014-08-01,78.639999,80.419998,76.980003,79.239998,61.578793,513900
2014-09-01,79.290001,79.300003,76.199997,76.790001,59.920338,453600
2014-10-01,76.669998,77.150002,70.540001,76.519997,59.976856,550600
2014-11-01,76.750000,76.750000,74.470001,74.470001,58.616604,397300
2014-12-01,74.050003,74.500000,69.339996,73.250000,57.937969,790900
2015-01-01,72.849998,73.489998,71.180000,71.830002,57.089600,321500
2015-02-01,71.440002,75.059998,71.389999,74.699997,59.370636,259100
2015-03-01,76.379997,76.379997,72.519997,73.339996,58.569412,346000
2015-04-01,73.349998,75.419998,72.519997,73.889999,59.257732,225800
2015-05-01,73.849998,74.940002,73.559998,73.760002,59.424911,302500
2015-06-01,74.190002,74.459999,71.730003,72.349998,58.546463,269800
2015-07-01,72.410004,72.650002,70.059998,70.660004,57.441322,320800
2015-08-01,70.500000,70.820000,64.680000,68.500000,55.928127,356300
2015-09-01,67.849998,69.239998,64.660004,65.070000,53.387554,209100
2015-10-01,64.690002,67.629997,63.669998,66.980003,55.249031,320800
2015-11-01,66.750000,67.589996,64.730003,64.980003,53.889183,141600
2015-12-01,64.900002,65.540001,60.930000,62.570000,52.167782,449400
2016-01-01,62.459999,62.720001,57.630001,60.020000,50.522121,341500
2016-02-01,60.070000,60.770000,56.200001,60.459999,50.892487,199400
2016-03-01,60.369999,63.930000,60.369999,62.630001,53.028328,263800
2016-04-01,62.299999,64.989998,61.639999,64.529999,54.637039,126200
2016-05-01,64.279999,64.980003,62.849998,64.570000,54.670910,132400
2016-06-01,64.250000,65.010002,61.689999,63.830002,54.306080,98300
2016-07-01,63.650002,66.129997,62.799999,64.720001,55.333225,95800
2016-08-01,64.570000,66.870003,63.810001,66.489998,57.123032,162000
2016-09-01,66.190002,66.870003,65.180000,66.639999,57.531029,77400
2016-10-01,66.830002,67.489998,65.919998,66.250000,57.458778,88200
2016-11-01,65.940002,67.620003,63.970001,67.209999,58.553223,191700
2016-12-01,66.910004,69.900002,66.550003,68.459999,59.921700,368100
2017-01-01,68.760002,69.410004,68.180000,69.080002,60.968849,285400
2017-02-01,68.900002,69.800003,68.809998,69.529999,61.365997,346200
2017-03-01,70.089996,70.180000,67.599998,68.699997,60.879345,554600
2017-04-01,68.300003,69.000000,67.669998,68.730003,61.146885,349900
2017-05-01,68.430000,69.000000,68.129997,68.889999,61.584164,212200
2017-06-01,69.000000,69.000000,67.110001,68.589996,61.578480,210600
2017-07-01,68.559998,70.989998,66.830002,69.089996,62.320469,489200
2017-08-01,69.089996,69.089996,66.760002,67.970001,61.580467,541900
2017-09-01,67.650002,68.559998,67.029999,68.349998,62.193909,268200
2017-10-01,68.309998,68.769997,67.870003,68.339996,62.485413,152700
2017-11-01,68.360001,68.379997,66.349998,67.940002,62.419216,210900
2017-12-01,67.580002,68.419998,66.739998,67.250000,62.085983,384300
2018-01-01,67.500000,69.639999,67.099998,68.879997,64.217529,1108900
2018-02-01,68.500000,68.709999,65.870003,68.040001,63.434383,538500
2018-03-01,67.510002,67.910004,66.010002,66.860001,62.603302,291700
2018-04-01,66.660004,68.330002,66.070000,67.489998,63.491787,243700
2018-05-01,66.930000,67.690002,66.160004,66.860001,63.213963,248800
2018-06-01,66.730003,67.989998,66.379997,66.809998,63.483665,194400
2018-07-01,66.370003,68.029999,66.220001,67.980003,64.914856,257000
2018-08-01,67.699997,68.099998,66.989998,67.650002,64.928207,296000
2018-09-01,67.349998,68.669998,67.190002,68.489998,66.058968,216900
2018-10-01,68.449997,68.599998,66.180000,66.870003,64.814560,602600
2018-11-01,66.529999,67.750000,64.919998,65.730003,64.025566,357300
2018-12-01,66.449997,66.449997,60.650002,62.090000,60.784466,1279900
2019-01-01,61.950001,65.800003,61.700001,65.129997,64.485039,349500
2019-02-01,64.720001,66.199997,64.720001,66.070000,65.415733,183100
2019-03-01,66.080002,66.360001,65.129997,65.290001,64.981689,158200
